Verbes	Êtra	To be: Je suis, Tu es, Il/Elle/On est, On est, Ils/Elles sont, Nous sommes,Vous Êtes
Verbes	Aimer	To like: J'aime, Tu aimer, Il/Elle/On aime, Ils/Elles aiment, Nous aimons, Vous aimez
Verbes	Avoir	To have: J'a, Tu as, Il/Elle/On a, Ils/Elles ont, Nous avons, Vous avez
Verbes	Eu	Had
Verbes	Aller	To go :Je Vais, Tu vas, Il/Elle/On va, On va, Ils/Elles vont, Nous allon, Vous allez
Verbes	Faire	To do/make: Je fais, Tu fais, Il/Elle/On fait, Nous Faisons, Vous Faites
Verbes	Prendre	To take: Je prends, Tu prends, Il/Elle/On prend, Ils/Elles prennent, Nous prenons, Vous prenez
Verbes	Pris	Taken
Verbes	Porter	To Wear
Verbes	Adorer	To adore
Verbes	Chanter	To sing
Verbes	Danser	To dance
Verbes	Écouter	To listen
Verbes	Étudier	To study
Verbes	Jouer	To play
Verbes	Manger	To eat
Verbes	Parler	To speak
Verbes	Regarder	To watch
Verbes	Rester	To stay
Verbes	Surfer	To surf
Verbes	Travailler	To work
Verbes	Voyager	To travel
Verbes	Chercher	To look for
Verbes	Coûter	To cost
Verbes	Louer	To rent
Verbes	Passer	To pass
Verbes	Payer	To pay
Verbes	Réfléchir	To think
Verbes	Venir	To come
Verbes	Voir	To see
Noms	Activité	Activity
Noms	Bureau	Desk
Noms	Cahier	Note
Noms	Camarade de classe	Classmate
Noms	Chaise	Chair
Noms	Chose	Thing
Noms	Craie	Piece of chalk
Noms	Crayon	Pencil
Noms	Devoirs	Homework
Noms	Dictionnaire	Dictionary
Noms	étudiant(e)	Student
Noms	Fenêtre	Window
Noms	Lampe	Lamp
Noms	Marqueur	Felt-tip marker
Noms	Mur	Wall
Noms	Un portable	A laptop
Noms	Stylo	Pen
Noms	Chat	Cat
Noms	Chien	Dog
Noms	Enfant	Child
Noms	Femme	Woman,Wife
Noms	Fille	Girl
Noms	Garçon	Boy
Noms	Homme	Man
Noms	Casquette	Baseball cap
Noms	Chapeau	Hat
Noms	Chaussures	Shoes
Noms	Chemise	Shirt
Noms	Jupe	Skirt
Noms	Lunettes	Glasses
Noms	Maillot de bain	Bathing suit
Noms	Manteau	Coat
Noms	Pantalon	(a pair of)Pants
Noms	Robe	Dress
Noms	Cinéma	Movies
Noms	copain(e)	Friend
Noms	Danser	Dancer
Noms	Fête	Party;Holiday
Noms	Jeu vidéo	Video game
Noms	Montagne	Mountain
Noms	Plage	Beach
Noms	Vacances	Vacations
Noms	Bibliothèque	Library
Noms	Fac	University
Noms	Jardin	Garden
Noms	Libraire	Bookstore
Noms	Musée	Museum
Noms	Piscine	Swimming pool
Noms	Résidence universitaire	College dorm
Adjectifs	Beau	Handsome
Adjectifs	Belle	Beautiful
Adjectifs	De taille moyenne	Average size
Adjectifs	Fort(e)	Strong
Adjectifs	Grand(e)	Big;Tall
Adjectifs	Jeune	Young
Adjectifs	Joli(e)	Pretty
Adjectifs	Moche	Ugly
Adjectifs	Petit	Small
Adjectifs	Vieus	Old
Adjectifs	Célèbre	Famous
Adjectifs	Comique	Funny
Adjectifs	Gentil(e)	Nice
Adjectifs	(les cheveau)Courts	Short(hair)
Adjectifs	(les cheveau)Longs	Long(hair)
Adjectifs	(les cheveau)Roux	Red(hair)
Adjectifs	(les cheveau)Gris	Grey(hair)
Adjectifs	Facile	Easy
Adjectifs	Difficile	Difficult
Adjectifs	Ennuyeus(Ennuyeuse)	Boring
Adjectifs	Intéressant(e)	Interesting
Adjectifs	Pratique	Practical
Adjectifs	Agréable	Likeable
Adjectifs	bête	Stupid
Adjectifs	Bon marché	Inexpensive
Adjectifs	Célibataire	Unmarried
Adjectifs	Cher(Chère)	Dear;Expensive
Adjectifs	Clair(e)	Bright
Adjectifs	Désagréable	Unpleasant
Adjectifs	Gros(se)	Large
Adjectifs	Mauvais(e)	Bad
Adjectifs	Ordonné(e)	New
Adjectifs	Paresseux(Paresseuse)	Lazy
Adjectifs	Réservé(e)	Reserved
Adjectifs	Triste	Sad
Adverbes	Assez (bien)	Fairly (well)
Adverbes	Bien	Well
Adverbes	Beaucoup	A lot
Adverbes	Un peu	A little
Pronoms	Je	I
Pronoms	Tu	You
Pronoms	Il	He
Pronoms	Elle	She
Pronoms	On	One, people, we
Pronoms	Nous	We
Pronoms	Vous	You (plural/formal)
Pronoms	Ils	They(m)
Pronoms	Elles	They(f)
MotsDivers	L'âge	Age
MotsDivers	L'anniversaire	Birthday
MotsDivers	Mais	But
MotsDivers	Un nom de famille	A last name
MotsDivers	Un prénom	A first name
MotsDivers	Où	Where
MotsDivers	Voici	Here is
LaFamille	Bébé	Baby
LaFamille	Fils	Son
LaFamille	Frère	Brother
LaFamille	Mari	Husband
LaFamille	mère	Mother
LaFamille	Père	Father
LaFamille	Soeur	Sister
LaFamille	Oncle	Uncle
LaFamille	Tante	Aunt
Calendrier	L'année	Year
Calendrier	Aujourd'hui	Today
Calendrier	Fête	Holiday
Calendrier	Jour	Day
Calendrier	Mois	Month
Calendrier	Semaine	Week
Calendrier	Lundi	Monday
Calendrier	Mardi	Tuesday
Calendrier	Mercredi	Wednesday
Calendrier	Jeudi	Thursday
Calendrier	Vendredi	Friday
Calendrier	Samedi	Saterday
Calendrier	Dimanche	Sunday
Calendrier	L'automne	Autumn
Calendrier	L'été	Summer
Calendrier	L'hiver	Winter
Calendrier	Le printemps	Spring
Calendrier	Janvier	January
Calendrier	Février	February
Calendrier	Mars	March
Calendrier	Avril	April
Calendrier	Mai	May
Calendrier	Juin	June
